
步骤0	当前分析栈:voidmain(){A}#	余留符号串：voidmain(){intsum,n;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:#
步骤1	当前分析栈:main(){A}#	余留符号串：main(){intsum,n;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:#
步骤2	当前分析栈:(){A}#	余留符号串：(){intsum,n;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:#
步骤3	当前分析栈:){A}#	余留符号串：){intsum,n;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:#
步骤4	当前分析栈:{A}#	余留符号串：{intsum,n;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:#
步骤5	当前分析栈:A}#	余留符号串：intsum,n;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:#
步骤6	当前分析栈:CA}#	余留符号串：intsum,n;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:#
步骤7	当前分析栈:XBRA}#	余留符号串：intsum,n;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:#
步骤8	当前分析栈:YZ;BRA}#	余留符号串：intsum,n;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:#
步骤9	当前分析栈:intZ;BRA}#	余留符号串：intsum,n;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:#
步骤10	当前分析栈:Z;BRA}#	余留符号串：sum,n;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:#
步骤11	当前分析栈:UZ';BRA}#	余留符号串：sum,n;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:#
步骤12	当前分析栈:@ASS_UidU'Z';BRA}#	余留符号串：sum,n;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:#
步骤13	当前分析栈:idU'Z';BRA}#	余留符号串：sum,n;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:sum#
步骤14	当前分析栈:U'Z';BRA}#	余留符号串：,n;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:sum#
步骤15	当前分析栈:Z';BRA}#	余留符号串：,n;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:sum#
步骤16	当前分析栈:,Z;BRA}#	余留符号串：,n;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:sum#
步骤17	当前分析栈:Z;BRA}#	余留符号串：n;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:sum#
步骤18	当前分析栈:UZ';BRA}#	余留符号串：n;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:sum#
步骤19	当前分析栈:@ASS_UidU'Z';BRA}#	余留符号串：n;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:sum#
步骤20	当前分析栈:idU'Z';BRA}#	余留符号串：n;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤21	当前分析栈:U'Z';BRA}#	余留符号串：;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤22	当前分析栈:Z';BRA}#	余留符号串：;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤23	当前分析栈:;BRA}#	余留符号串：;scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤24	当前分析栈:BRA}#	余留符号串：scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤25	当前分析栈:scanf("%d",&F)@SCANFA;RA}#	余留符号串：scanf("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤26	当前分析栈:("%d",&F)@SCANFA;RA}#	余留符号串：("%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤27	当前分析栈:"%d",&F)@SCANFA;RA}#	余留符号串："%d",&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤28	当前分析栈:,&F)@SCANFA;RA}#	余留符号串：,&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤29	当前分析栈:&F)@SCANFA;RA}#	余留符号串：&n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤30	当前分析栈:F)@SCANFA;RA}#	余留符号串：n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤31	当前分析栈:@ASS_Fid)@SCANFA;RA}#	余留符号串：n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤32	当前分析栈:id)@SCANFA;RA}#	余留符号串：n);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nnsum#
步骤33	当前分析栈:)@SCANFA;RA}#	余留符号串：);if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nnsum#
步骤34	当前分析栈:@SCANFA;RA}#	余留符号串：;if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nnsum#
步骤35	当前分析栈:A;RA}#	余留符号串：;if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤36	当前分析栈:;RA}#	余留符号串：;if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤37	当前分析栈:RA}#	余留符号串：if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤38	当前分析栈:A}#	余留符号串：if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤39	当前分析栈:CA}#	余留符号串：if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤40	当前分析栈:XBRA}#	余留符号串：if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤41	当前分析栈:BRA}#	余留符号串：if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤42	当前分析栈:if(G)@IF_FJ{A}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：if(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤43	当前分析栈:(G)@IF_FJ{A}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：(n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤44	当前分析栈:G)@IF_FJ{A}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤45	当前分析栈:FDF@COMPARE)@IF_FJ{A}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤46	当前分析栈:@ASS_FidDF@COMPARE)@IF_FJ{A}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤47	当前分析栈:idDF@COMPARE)@IF_FJ{A}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：n<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nnsum#
步骤48	当前分析栈:DF@COMPARE)@IF_FJ{A}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nnsum#
步骤49	当前分析栈:@COMPARE_OP<F@COMPARE)@IF_FJ{A}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nnsum#
步骤50	当前分析栈:<F@COMPARE)@IF_FJ{A}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：<1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:<nnsum#
步骤51	当前分析栈:F@COMPARE)@IF_FJ{A}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:<nnsum#
步骤52	当前分析栈:@ASS_Fnum@COMPARE)@IF_FJ{A}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:<nnsum#
步骤53	当前分析栈:num@COMPARE)@IF_FJ{A}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：1){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:1<nnsum#
步骤54	当前分析栈:@COMPARE)@IF_FJ{A}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:1<nnsum#
步骤55	当前分析栈:)@IF_FJ{A}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：){sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:T1nsum#
步骤56	当前分析栈:@IF_FJ{A}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：{sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:T1nsum#
步骤57	当前分析栈:{A}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：{sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤58	当前分析栈:A}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤59	当前分析栈:CA}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤60	当前分析栈:XBRA}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤61	当前分析栈:BRA}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤62	当前分析栈:RA}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤63	当前分析栈:@ASS_Rid=L@EQ;A}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:nsum#
步骤64	当前分析栈:id=L@EQ;A}@IF_BACKPATCH_FJ@IF_RJelse{A}@IF_BACKPATCH_RJRA}#	余留符号串：sum=n+1;}else{sum=n-1;}printf("%d",sum);}#	语义栈:sumnsum#
